Taxon,0M1,0M2,0M3,0M4,0M5,1M1,1M2,1M3,1M4,1M5,2M1,2M2,2M3,2M4,2M5
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Unclassified_Rhizobiales;g__Unclassified_Rhizobiales,0.000525521,0.000462474,0.001313974,0.000928751,0.001506517,0.000395831,0.000459107,0.000721359,0.000524384,0.000393056,0.000523903,0.002214407,0.000196786,0.00058943,0.00071933
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium,0.000722591,0.001453488,0.000131397,0.002719915,0.001899522,0,0.000262347,0.001114827,0,0.000458565,0,0.000325648,6.56E-05,0.000196477,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter,0,0.000462474,0.00052559,0.000132679,0.000262003,0,0.000262347,0.010164601,0,0.000655093,0,0,0.000131191,0.000130984,6.54E-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Unclassified_Peptostreptococcaceae,0.000459831,0.001189218,0.000722686,0.0021892,0.001375516,0.000197915,0.000655867,0.000852515,0,0.000458565,6.55E-05,0.000130259,0.000196786,0,0.000130787
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus,0.000788281,0.000858879,0.001182577,0.000796073,0.001244514,0,0.00059028,0.000262312,0.000196644,0.000327547,0,0,0.000262381,0,0.000196181
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacterium,0.000525521,0.000660677,0.001051179,0.000663394,0.001048012,0.000131944,0.000459107,6.56E-05,6.55E-05,0.000262037,0,0.001172333,0.000393572,0.000196477,0.000196181
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12;f__Unclassified_MLE1-12;g__Unclassified_MLE1-12,0.00032845,0.000528541,0.000591288,0.000597055,0.000393005,6.60E-05,0.00019676,0.000196734,0.000458836,0.000327547,0.000327439,0.001758499,0.000459167,0.000785906,0.001046299
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Unclassified_Aerococcaceae,0.00026276,0.000726744,0.000197096,0.001592145,0.000720508,0,0.000262347,0.003475638,0,0.000196528,0,0,0.000262381,6.55E-05,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,0,0,0,0,0,0,0.010428281,0,0.000524384,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Unclassified_Intrasporangiaceae,0.00019707,0.000264271,6.57E-05,0.000995091,0.000655008,0,0.000131173,0.005902026,0,0.000131019,0,0,0.000131191,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter,0.000459831,0.000726744,0.000197096,0.002122861,0.001310015,0.000197915,0.000327933,0.000524625,6.55E-05,0.000393056,0,0,0.000262381,0,0.000130787
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,0.00026276,0.000792812,0.000328494,0.001923842,0.000589507,0.000131944,0.000327933,0.00170503,0,0.000393056,0.000130976,0,0,0.000392953,0.000130787
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Chryseobacterium,6.57E-05,0.000132135,0.000328494,0.000265358,0.000131002,0,6.56E-05,0.001049249,0,0.001703243,0.000130976,0.001107203,0,0.002030257,0.00071933
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas,0.00019707,0.000330338,0.000656987,0.000398036,0.000196502,0,0.00059028,0.000459046,0.000393288,0.000393056,0.000458415,0.000521037,0.000327976,0.000327461,0.000196181
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Jeotgalicoccus,0.00026276,0.000528541,0.000131397,0.001326788,0.000458505,0,0.000721453,0.000918093,0.000262192,0.000196528,0,0,0.000196786,6.55E-05,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__Succinivibrio,0.00013138,0.00112315,0.000394192,0.000995091,0.000655008,0.000131944,0.000327933,0.002229654,6.55E-05,0.000196528,0.000196464,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Unclassified_Bradyrhizobiaceae,0.00032845,0.000264271,0.00052559,0.000530715,0.000327504,0.000131944,0.000131173,6.56E-05,0.000131096,0.000196528,0.000196464,0.000716426,0.000393572,0.000261969,0.000392362
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Unclassified_Betaproteobacteria;f__Unclassified_Betaproteobacteria;g__Unclassified_Betaproteobacteria,0.00013138,0.000198203,0.000656987,0.000132679,0.000262003,0.000131944,0,0,0,0.000786112,6.55E-05,0.000390778,0.000131191,0.000982383,0.000850118
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Unclassified_Burkholderiales;g__Unclassified_Burkholderiales,0.00039414,0.000132135,6.57E-05,0.000464376,0.000393005,0,6.56E-05,6.56E-05,0,0.000524075,0,0,0,0.000261969,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Unclassified_Alphaproteobacteria;f__Unclassified_Alphaproteobacteria;g__Unclassified_Alphaproteobacteria,0.00032845,0.000330338,0.000131397,0.000530715,0.000393005,0,0.00039352,0.000131156,0.000196644,0.000327547,0.000327439,0.001758499,0,6.55E-05,0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia,0.000591211,0.000330338,0.000854083,0.000464376,0.000327504,0,0.000459107,6.56E-05,6.55E-05,0.000262037,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,0,0.000396406,0.000197096,0.001658485,0.000327504,0.000395831,0.000131173,0.000393468,0,0,0.000130976,0,0.000983929,0,0.000326968
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus,6.57E-05,0.000330338,0.000262795,0.001194109,0.001048012,0.000659718,0.000262347,0.000918093,6.55E-05,0.000131019,6.55E-05,0,0,0,6.54E-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Unclassified_Moraxellaceae,6.57E-05,6.61E-05,0.000131397,0,0.000262003,6.60E-05,0,0.002623123,0,0.000131019,0.000196464,0.000260518,6.56E-05,0.000654922,0
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__Unclassified_Ellin6529;f__Unclassified_Ellin6529;g__Unclassified_Ellin6529,0.000459831,0.000132135,0,0,0.000720508,0,0,6.56E-05,0,0,0,0.000325648,0,0,0.000261575
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium,0,0,0.000262795,0,0,0,0.000131173,0.000131156,0,0.001834261,0,0,0.000196786,0.00150632,0.000326968
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Sanguibacteraceae;g__Sanguibacter,0,6.61E-05,0.000197096,0.000398036,0.000131002,0,0,0.004721621,0,0,0,0,0,6.55E-05,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Unclassified_Bacteroidales;g__Unclassified_Bacteroidales,0,0.000198203,0.000197096,0.00106143,0.000524006,6.60E-05,0,0.001442718,0,0.000131019,0,0,0.000655953,6.55E-05,0.000196181
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Unclassified_Xanthomonadaceae,0,0.000132135,0,0,0.000458505,0,6.56E-05,0,0,0.000262037,0,0,0,0.000130984,0.000261575
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,0.00019707,0.000594609,0.000328494,0.000928751,0.000327504,0.000263887,0.000131173,0.000262312,0.000262192,0.000131019,0.000130976,0,0.000131191,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Planomicrobium,0.00013138,0,6.57E-05,0.000331697,0.000131002,0,6.56E-05,0.003278904,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Unclassified_Clostridiaceae,0.00039414,0.000198203,0.000131397,0.00106143,0.000327504,0.000263887,0.00019676,0.00032789,0,0,0,0,0,6.55E-05,0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__Unclassified_Streptophyta;g__Unclassified_Streptophyta,0.00032845,0.000132135,0.000262795,0.000729733,0.000589507,0,0.000262347,0.000131156,0,0,0.000130976,0,0.000196786,0.000130984,0.000130787
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__5-7N15,0,0.000726744,0.000262795,0.00112777,0.000393005,0.000461802,0,0.000852515,6.55E-05,0,6.55E-05,0,0.000196786,0.000196477,6.54E-05
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles;f__Unclassified_Stramenopiles;g__Unclassified_Stramenopiles,0,0,0.000328494,0.000265358,0.000262003,0,0,0.000262312,0.000131096,0.000196528,0.000589391,6.51E-05,0,0,0.000261575
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__34P16;f__Unclassified_34P16;g__Unclassified_34P16,0,0,0,0,0,0,0,0,0,0,0,0.004103165,0,0,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__Ruminobacter,0.00013138,0.000330338,0.000394192,0.000729733,0.000262003,6.60E-05,0.000131173,0.000655781,0,0,0,0,0.000131191,0.000327461,0
