#Taxonomy,S_JC2,S_MC1,F_LW2,F_JC4,F_MC1,F_JC5,F_MC3,S_MC2,S_MC4,S_MC3,S_LW3,S_JC1,F_MC4,S_JC3,N_F_LW1,F_LW4,S_MC5,S_LW4,F_MC2,F_LW3,F_JC3,S_JC4,S_LW2,F_LW1,F_JC1,S_LW5,F_JC2,F_LW5,S_LW1,F_MC5,S_JC5,Total
d__Eukaryota;k__Metazoa;p__Xenacoelomorpha,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,20,10,0,60,0,4,16,0,0,122
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Roizmanbacteria,232,440,90,174,428,266,292,268,334,368,364,506,238,388,84,134,594,506,328,274,324,234,266,236,448,200,192,300,468,260,722,9958
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Wolfebacteria,374,172,120,178,212,154,54,316,178,306,328,396,220,282,66,148,262,394,132,240,72,198,328,554,172,370,100,352,1042,120,390,8230
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Levybacteria,70,42,92,146,138,96,86,70,104,142,152,58,128,96,52,278,32,218,84,150,70,56,132,246,86,96,82,158,92,116,80,3448
d__Bacteria;k__unclassified_d__Bacteria;p__candidate_division_Zixibacteria,1244,1990,1558,1284,1884,2532,1364,968,1346,1138,3298,2552,1088,1506,484,3478,1602,2200,1072,2058,1466,1954,2050,2664,1776,1612,1102,2276,1556,2012,2474,55588
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Adlerbacteria,4,8,38,98,0,36,4,4,16,16,80,44,118,24,8,176,0,100,0,50,12,32,114,16,2,38,6,34,34,48,6,1166
d__Bacteria;k__unclassified_d__Bacteria;p__Chlorobi,7086,8246,7342,7444,6996,6560,5700,5940,7006,7618,7056,9822,6404,7418,6160,11630,7214,7442,6206,11084,5928,8680,7086,11074,6788,5870,4842,10094,5450,5738,10756,232680
d__Archaea;k__unclassified_d__Archaea;p__Candidatus_Nanohaloarchaeota,16,10,26,108,36,74,44,18,0,8,18,32,118,60,0,0,12,0,104,2,24,46,46,12,50,0,66,0,2,60,12,1004
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Woesebacteria,970,630,520,780,758,504,458,656,528,658,616,812,762,802,182,626,880,1048,246,1012,478,840,1110,1514,688,838,228,354,1238,410,1212,22358
d__Eukaryota;k__Metazoa;p__Chaetognatha,0,0,244,0,0,0,0,0,0,0,26,0,0,0,20,52,0,142,0,252,0,0,482,56,0,356,0,26,16,0,0,1672
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Beckwithbacteria,66,20,4,48,58,34,32,42,48,74,34,34,28,56,38,24,130,30,42,38,12,68,22,148,102,52,46,146,28,16,110,1630
d__Bacteria;k__unclassified_d__Bacteria;p__Deinococcus-Thermus,3204,3882,2422,4478,6044,5460,2624,3188,3156,3614,3498,4946,3486,4880,864,4546,4116,2006,3218,3306,2664,4210,3316,4198,5742,2470,3078,3504,2640,4526,6080,115366
